file_name,resolved_path,stats
stuff.py,/Users/wickes1/PycharmProjects/IS305/Week01/stuff.py,"os.stat_result(st_mode=33188, st_ino=16217953, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=0, st_atime=1661184383, st_mtime=1661184383, st_ctime=1661184383)"
test.py,/Users/wickes1/PycharmProjects/IS305/Week01/test.py,"os.stat_result(st_mode=33188, st_ino=16015532, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=9, st_atime=1663768970, st_mtime=1661184108, st_ctime=1661184108)"
wednesday.py,/Users/wickes1/PycharmProjects/IS305/week 3/wednesday.py,"os.stat_result(st_mode=33188, st_ino=17261062, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=1052, st_atime=1663768970, st_mtime=1662568144, st_ctime=1662568144)"
pokemon_names_and_descriptions.csv,/Users/wickes1/PycharmProjects/IS305/week 3/pokemon_names_and_descriptions.csv,"os.stat_result(st_mode=33188, st_ino=17260919, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=201990, st_atime=1663768970, st_mtime=1662564206, st_ctime=1662564359)"
pokemon_names_and_descriptions.csv,/Users/wickes1/PycharmProjects/IS305/week 4/pokemon_names_and_descriptions.csv,"os.stat_result(st_mode=33188, st_ino=17470146, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=201990, st_atime=1663768970, st_mtime=1662564206, st_ctime=1662995754)"
tuesday.py,/Users/wickes1/PycharmProjects/IS305/week 4/tuesday.py,"os.stat_result(st_mode=33188, st_ino=17470152, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=449, st_atime=1663768970, st_mtime=1662999531, st_ctime=1662999531)"
csvtesting.py,/Users/wickes1/PycharmProjects/IS305/week 4/csvtesting.py,"os.stat_result(st_mode=33188, st_ino=17849668, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=198, st_atime=1663768970, st_mtime=1663599985, st_ctime=1663599985)"
wednesday.py,/Users/wickes1/PycharmProjects/IS305/week 5/wednesday.py,"os.stat_result(st_mode=33188, st_ino=17969437, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=1175, st_atime=1663776648, st_mtime=1663776648, st_ctime=1663776648)"
pokemon_names_and_descriptions.csv,/Users/wickes1/PycharmProjects/IS305/week 5/pokemon_names_and_descriptions.csv,"os.stat_result(st_mode=33188, st_ino=17850908, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=201990, st_atime=1663768970, st_mtime=1662564206, st_ctime=1663600231)"
monday.py,/Users/wickes1/PycharmProjects/IS305/week 5/monday.py,"os.stat_result(st_mode=33188, st_ino=17850903, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=399, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
monday_pt2.py,/Users/wickes1/PycharmProjects/IS305/week 5/monday_pt2.py,"os.stat_result(st_mode=33188, st_ino=17855568, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=221, st_atime=1663773474, st_mtime=1663773473, st_ctime=1663773473)"
data,/Users/wickes1/PycharmProjects/IS305/week 5/data,"os.stat_result(st_mode=16877, st_ino=17853915, st_dev=16777229, st_nlink=60, st_uid=503, st_gid=20, st_size=1920, st_atime=1663603461, st_mtime=1663603461, st_ctime=1663603461)"
0002.ihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0002.ihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855449, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=29, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0005.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0005.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855395, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=66, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0005.ihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0005.ihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855452, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=66, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0008.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0008.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854573, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=102, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0011.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0011.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855458, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=139, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0009.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0009.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855456, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=114, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0005.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0005.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854570, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=66, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0011.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0011.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854576, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=139, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0018.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0018.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855465, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=223, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0006.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0006.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855453, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=78, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0014.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0014.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855461, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=175, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0007.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0007.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855397, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=90, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0016.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0016.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855406, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=199, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0019.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0019.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855466, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=235, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0002.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0002.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855392, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=29, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0003.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0003.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854568, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=41, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0017.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0017.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854582, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=211, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0012.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0012.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855459, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=151, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0009.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0009.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854574, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=114, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0008.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0008.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855455, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=102, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0010.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0010.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854575, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=127, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0017.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0017.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855407, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=211, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0004.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0004.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854569, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=53, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0009.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0009.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855399, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=114, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
